epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,8.59418,0.84571,34.4507,0.75448,0.00023,0.65625,0.29554,0.07691,0.71233,34.1617,0.83449,0.000651515,0.000651515,0.000651515
2,13.7634,1.20592,18.7219,1.17294,0.00031,0.875,0.00059,0.00036,1.04213,17.5134,1.20649,0.00129643,0.00129643,0.00129643
3,19.0565,1.39253,12.6756,1.44221,0.00018,0.5,0.00013,5e-05,1.6363,903.78,2.89563,0.00191935,0.00191935,0.00191935
4,23.9265,1.45337,13.8972,1.30551,0.49961,0.25,0.33015,0.18493,1.41979,8.08359,1.90338,0.001901,0.001901,0.001901
5,28.9841,1.58663,9.69975,1.55873,0.00026,0.46875,0.00018,0.00011,1.50594,inf,2.78551,0.001868,0.001868,0.001868
6,33.7497,1.55027,7.87776,1.43147,0.66033,0.46875,0.51626,0.35776,1.07684,2.04274,1.22716,0.001835,0.001835,0.001835
7,38.7186,1.54615,5.70557,1.51928,0.37064,0.12913,0.18561,0.12522,1.36712,2.51742,1.48911,0.001802,0.001802,0.001802
8,43.8865,1.49377,4.3587,1.48481,0.97695,0.625,0.72668,0.50502,1.00385,1.245,1.30338,0.001769,0.001769,0.001769
9,48.6573,1.21345,3.52336,1.28831,0.92839,0.6875,0.72115,0.52339,0.98234,1.64604,1.22953,0.001736,0.001736,0.001736
10,53.6067,1.41209,2.90825,1.47088,0.73863,0.70676,0.7057,0.48879,1.03203,1.22418,1.19223,0.001703,0.001703,0.001703
11,59.0223,1.37709,3.34685,1.36423,0.79731,0.6875,0.70638,0.43716,1.04482,3.63123,1.29901,0.00167,0.00167,0.00167
12,64.1812,1.25464,2.38915,1.29098,0.79461,0.75,0.75332,0.54931,0.85114,1.41718,1.07664,0.001637,0.001637,0.001637
