epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,7.2482,0.73785,35.7948,0.69551,0.00031,0.875,0.00127,0.00079,0.64941,41.2514,0.75371,0.000655367,0.000655367,0.000655367
2,12.4254,1.13455,18.7301,0.9595,0.83017,0.4375,0.61293,0.38296,1.05411,12.2506,0.89563,0.00128931,0.00128931,0.00128931
3,17.4075,1.30069,15.8108,1.10907,0.29576,0.3125,0.27881,0.16953,1.26978,11.5639,1.13071,0.00189026,0.00189026,0.00189026
4,22.3712,1.30507,9.91357,1.1638,0.39571,0.34375,0.29942,0.17594,1.05661,7.64946,1.03319,0.0018515,0.0018515,0.0018515
5,27.2809,1.45353,10.0323,1.21144,0.73808,0.5,0.55004,0.36182,1.1699,9.61767,1.28342,0.001802,0.001802,0.001802
6,32.2287,1.30314,5.47098,1.13913,0.63833,0.375,0.45056,0.27807,1.26984,1.83864,1.08869,0.0017525,0.0017525,0.0017525
7,37.2078,1.45569,3.39132,1.27157,0.61498,0.5625,0.51686,0.35606,1.21149,1.64244,1.06804,0.001703,0.001703,0.001703
8,42.0013,1.13048,3.99796,1.01234,0.62522,0.41739,0.60653,0.41855,0.99281,1.44071,1.06626,0.0016535,0.0016535,0.0016535
9,46.8629,1.16867,3.23455,1.17528,0.36689,0.61585,0.43496,0.26072,0.8893,1.75665,0.98855,0.001604,0.001604,0.001604
10,51.7871,1.09772,2.60373,1.10913,0.55889,0.53125,0.57294,0.36924,0.96124,1.35222,1.00246,0.0015545,0.0015545,0.0015545
11,56.6214,1.11621,2.26296,1.09775,0.96935,0.625,0.79259,0.63445,0.76475,1.49286,0.88166,0.001505,0.001505,0.001505
12,61.6182,1.10226,2.0601,1.09735,0.84875,0.78125,0.8229,0.58815,0.80006,0.91536,0.89702,0.0014555,0.0014555,0.0014555
13,66.5561,1.00633,2.1107,1.0395,0.91823,0.75,0.8588,0.63125,0.82022,1.06723,0.88701,0.001406,0.001406,0.001406
14,71.472,0.88728,1.67277,0.9105,0.72996,0.84476,0.80837,0.57903,0.80566,1.05865,0.8901,0.0013565,0.0013565,0.0013565
15,76.3418,1.02665,1.70854,1.03681,0.97848,0.625,0.77538,0.60678,0.8378,1.14762,0.91495,0.001307,0.001307,0.001307
16,81.1905,0.95711,1.52442,0.99892,0.84696,0.86491,0.8636,0.66912,0.70849,1.32658,0.83502,0.0012575,0.0012575,0.0012575
17,86.103,0.88386,1.43594,1.00066,0.93158,0.90625,0.8975,0.72205,0.65621,0.83823,0.85562,0.001208,0.001208,0.001208
18,91.0001,1.01116,1.63297,1.053,0.82548,0.5625,0.74287,0.56438,0.74375,1.62536,0.84543,0.0011585,0.0011585,0.0011585
19,95.9334,0.9755,1.5259,1.01353,0.88531,0.875,0.88931,0.70033,0.68039,1.02422,0.80463,0.001109,0.001109,0.001109
20,100.802,0.86142,1.368,0.90025,0.92816,0.90625,0.89489,0.70123,0.65855,0.71406,0.80385,0.0010595,0.0010595,0.0010595
21,105.732,0.86345,1.50877,0.91143,0.75997,0.89068,0.81544,0.66203,0.6494,1.0305,0.81439,0.00101,0.00101,0.00101
22,110.541,0.72954,1.29,0.8466,0.93317,0.87271,0.8904,0.71223,0.67563,0.84809,0.86563,0.0009605,0.0009605,0.0009605
23,115.373,0.78045,1.07983,0.91438,0.84581,0.875,0.8634,0.72548,0.623,1.21748,0.82031,0.000911,0.000911,0.000911
24,120.234,0.79637,1.37232,0.87063,0.77838,0.875,0.80771,0.65708,0.64049,1.19209,0.80948,0.0008615,0.0008615,0.0008615
25,125.148,0.99037,1.29757,1.06685,0.84444,0.84833,0.87326,0.72183,0.5853,1.00644,0.78274,0.000812,0.000812,0.000812
